Timestamp,TMUSite5509-2 - Speed Value,TMUSite5509-2 - Total Carriageway Flow
2018-01-01 00:14:00,118.36,8
2018-01-01 00:29:00,113.01,37
2018-01-01 00:44:00,115.05,79
2018-01-01 00:59:00,113.52,81
2018-01-01 01:14:00,114.24,55
2018-01-01 01:29:00,111.65,44
2018-01-01 01:44:00,110.81,50
2018-01-01 01:59:00,109.44,30
2018-01-01 02:14:00,110.82,37
2018-01-01 02:29:00,114.36,26
2018-01-01 02:44:00,109.75,20
2018-01-01 02:59:00,117.0,21
2018-01-01 03:14:00,111.17,14
2018-01-01 03:29:00,110.48,17
2018-01-01 03:44:00,110.63,19
2018-01-01 03:59:00,112.69,17
2018-01-01 04:14:00,109.71,21
2018-01-01 04:29:00,115.91,21
2018-01-01 04:44:00,117.97,17
2018-01-01 04:59:00,111.82,25
2018-01-01 05:14:00,111.27,15
2018-01-01 05:29:00,117.93,27
2018-01-01 05:44:00,112.92,23
2018-01-01 05:59:00,109.27,45
2018-01-01 06:14:00,113.33,34
2018-01-01 06:29:00,115.62,38
2018-01-01 06:44:00,114.75,42
2018-01-01 06:59:00,112.98,55
2018-01-01 07:14:00,111.8,49
2018-01-01 07:29:00,118.41,63
2018-01-01 07:44:00,110.65,57
2018-01-01 07:59:00,113.51,63
2018-01-01 08:14:00,115.14,58
2018-01-01 08:29:00,116.9,65
2018-01-01 08:44:00,116.82,73
2018-01-01 08:59:00,117.91,86
2018-01-01 09:14:00,112.78,93
2018-01-01 09:29:00,116.34,118
2018-01-01 09:44:00,113.55,115
2018-01-01 09:59:00,116.39,148
2018-01-01 10:14:00,110.91,146
2018-01-01 10:29:00,114.82,215
2018-01-01 10:44:00,115.76,185
2018-01-01 10:59:00,113.41,241
2018-01-01 11:14:00,115.04,276
2018-01-01 11:29:00,116.79,320
2018-01-01 11:44:00,112.83,347
2018-01-01 11:59:00,113.69,353
2018-01-01 12:14:00,110.7,377
2018-01-01 12:29:00,111.08,419
2018-01-01 12:44:00,114.17,459
2018-01-01 12:59:00,113.64,418
2018-01-01 13:14:00,115.62,426
2018-01-01 13:29:00,117.97,357
2018-01-01 13:44:00,117.15,391
2018-01-01 13:59:00,116.22,402
2018-01-01 14:14:00,116.84,372
2018-01-01 14:29:00,117.14,377
2018-01-01 14:44:00,116.55,363
2018-01-01 14:59:00,117.7,373
2018-01-01 15:14:00,118.13,394
2018-01-01 15:29:00,118.11,406
2018-01-01 15:44:00,118.36,393
2018-01-01 15:59:00,116.64,459
2018-01-01 16:14:00,115.98,472
2018-01-01 16:29:00,118.15,422
2018-01-01 16:44:00,113.38,470
2018-01-01 16:59:00,114.3,388
2018-01-01 17:14:00,112.09,428
2018-01-01 17:29:00,116.12,321
2018-01-01 17:44:00,114.32,338
2018-01-01 17:59:00,114.97,314
2018-01-01 18:14:00,114.87,254
2018-01-01 18:29:00,115.16,256
2018-01-01 18:44:00,115.11,236
2018-01-01 18:59:00,115.06,214
2018-01-01 19:14:00,116.02,185
2018-01-01 19:29:00,115.92,156
2018-01-01 19:44:00,115.13,168
2018-01-01 19:59:00,118.27,173
2018-01-01 20:14:00,114.48,119
2018-01-01 20:29:00,114.92,119
2018-01-01 20:44:00,115.85,98
2018-01-01 20:59:00,115.08,105
2018-01-01 21:14:00,115.5,116
2018-01-01 21:29:00,113.99,92
2018-01-01 21:44:00,117.62,73
2018-01-01 21:59:00,113.61,75
2018-01-01 22:14:00,112.16,48
2018-01-01 22:29:00,113.52,82
2018-01-01 22:44:00,115.28,40
2018-01-01 22:59:00,116.54,30
2018-01-01 23:14:00,110.97,30
2018-01-01 23:29:00,115.02,29
2018-01-01 23:44:00,113.54,16
2018-01-01 23:59:00,109.99,19
2018-01-02 00:14:00,106.95,11
2018-01-02 00:29:00,108.37,16
2018-01-02 00:44:00,108.25,14
2018-01-02 00:59:00,110.55,10
2018-01-02 01:14:00,115.71,13
2018-01-02 01:29:00,101.79,12
2018-01-02 01:44:00,106.6,10
2018-01-02 01:59:00,106.59,9
2018-01-02 02:14:00,107.74,15
2018-01-02 02:29:00,114.75,8
2018-01-02 02:44:00,115.25,13
2018-01-02 02:59:00,106.58,18
2018-01-02 03:14:00,113.76,15
2018-01-02 03:29:00,116.32,14
2018-01-02 03:44:00,108.08,21
2018-01-02 03:59:00,111.18,33
2018-01-02 04:14:00,117.72,33
2018-01-02 04:29:00,116.51,46
2018-01-02 04:44:00,110.59,43
2018-01-02 04:59:00,115.73,88
2018-01-02 05:14:00,115.69,124
2018-01-02 05:29:00,118.0,184
2018-01-02 05:44:00,116.7,230
2018-01-02 05:59:00,117.56,352
2018-01-02 06:14:00,115.52,432
2018-01-02 06:29:00,114.88,498
2018-01-02 06:44:00,113.27,553
2018-01-02 06:59:00,110.35,581
2018-01-02 07:14:00,109.28,594
2018-01-02 07:29:00,108.33,635
2018-01-02 07:44:00,108.39,586
2018-01-02 07:59:00,108.7,579
2018-01-02 08:14:00,110.28,541
2018-01-02 08:29:00,111.82,460
2018-01-02 08:44:00,111.95,443
2018-01-02 08:59:00,113.76,401
2018-01-02 09:14:00,114.35,323
2018-01-02 09:29:00,113.49,332
2018-01-02 09:44:00,111.84,280
2018-01-02 09:59:00,110.93,352
2018-01-02 10:14:00,111.3,325
2018-01-02 10:29:00,109.73,343
2018-01-02 10:44:00,109.5,396
2018-01-02 10:59:00,106.45,386
2018-01-02 11:14:00,103.45,395
2018-01-02 11:29:00,104.32,339
2018-01-02 11:44:00,104.5,335
2018-01-02 11:59:00,107.65,313
2018-01-02 12:14:00,107.18,356
2018-01-02 12:29:00,109.12,319
2018-01-02 12:44:00,106.25,362
2018-01-02 12:59:00,108.38,347
2018-01-02 13:14:00,110.07,364
2018-01-02 13:29:00,110.47,346
2018-01-02 13:44:00,112.58,330
2018-01-02 13:59:00,112.33,369
2018-01-02 14:14:00,111.37,424
2018-01-02 14:29:00,113.23,365
2018-01-02 14:44:00,113.29,354
2018-01-02 14:59:00,113.4,312
2018-01-02 15:14:00,115.4,334
2018-01-02 15:29:00,112.83,335
2018-01-02 15:44:00,115.99,339
2018-01-02 15:59:00,113.49,355
2018-01-02 16:14:00,114.88,362
2018-01-02 16:29:00,113.68,352
2018-01-02 16:44:00,110.7,359
2018-01-02 16:59:00,111.64,360
2018-01-02 17:14:00,111.48,403
2018-01-02 17:29:00,111.67,369
2018-01-02 17:44:00,112.19,390
2018-01-02 17:59:00,112.61,303
2018-01-02 18:14:00,112.5,291
2018-01-02 18:29:00,113.34,277
2018-01-02 18:44:00,113.39,265
2018-01-02 18:59:00,112.94,195
2018-01-02 19:14:00,113.44,260
2018-01-02 19:29:00,115.74,152
2018-01-02 19:44:00,112.51,140
2018-01-02 19:59:00,114.04,146
2018-01-02 20:14:00,113.78,151
2018-01-02 20:29:00,110.07,134
2018-01-02 20:44:00,110.65,94
2018-01-02 20:59:00,109.57,76
2018-01-02 21:14:00,108.17,108
2018-01-02 21:29:00,103.97,84
2018-01-02 21:44:00,110.87,70
2018-01-02 21:59:00,109.25,102
2018-01-02 22:14:00,106.25,118
2018-01-02 22:29:00,107.66,140
2018-01-02 22:44:00,110.4,120
2018-01-02 22:59:00,108.99,143
2018-01-02 23:14:00,107.34,66
2018-01-02 23:29:00,100.72,34
2018-01-02 23:44:00,101.85,31
2018-01-02 23:59:00,109.44,23
2018-01-03 00:14:00,107.79,25
2018-01-03 00:29:00,106.09,18
2018-01-03 00:44:00,111.81,14
2018-01-03 00:59:00,108.16,18
2018-01-03 01:14:00,111.7,16
2018-01-03 01:29:00,109.0,15
2018-01-03 01:44:00,106.72,7
2018-01-03 01:59:00,106.33,19
2018-01-03 02:14:00,105.25,11
2018-01-03 02:29:00,102.34,9
2018-01-03 02:44:00,106.07,17
2018-01-03 02:59:00,113.05,11
2018-01-03 03:14:00,109.47,22
2018-01-03 03:29:00,105.2,14
2018-01-03 03:44:00,101.59,21
2018-01-03 03:59:00,106.26,31
2018-01-03 04:14:00,110.34,36
2018-01-03 04:29:00,109.98,44
2018-01-03 04:44:00,109.49,50
2018-01-03 04:59:00,115.39,77
2018-01-03 05:14:00,112.68,125
2018-01-03 05:29:00,115.71,189
2018-01-03 05:44:00,117.48,249
2018-01-03 05:59:00,116.35,349
2018-01-03 06:14:00,115.83,414
2018-01-03 06:29:00,108.75,539
2018-01-03 06:44:00,107.77,640
2018-01-03 06:59:00,106.4,677
2018-01-03 07:14:00,99.41,826
2018-01-03 07:29:00,105.28,709
2018-01-03 07:44:00,104.13,691
2018-01-03 07:59:00,107.74,620
2018-01-03 08:14:00,108.3,632
2018-01-03 08:29:00,107.38,620
2018-01-03 08:44:00,109.97,523
2018-01-03 08:59:00,112.34,476
2018-01-03 09:14:00,111.92,364
2018-01-03 09:29:00,112.79,368
2018-01-03 09:44:00,112.57,345
2018-01-03 09:59:00,113.36,368
2018-01-03 10:14:00,113.35,304
2018-01-03 10:29:00,113.48,291
2018-01-03 10:44:00,113.0,304
2018-01-03 10:59:00,112.56,306
2018-01-03 11:14:00,115.16,309
2018-01-03 11:29:00,113.79,295
2018-01-03 11:44:00,113.2,272
2018-01-03 11:59:00,114.2,289
2018-01-03 12:14:00,112.61,285
2018-01-03 12:29:00,112.4,292
2018-01-03 12:44:00,114.47,280
2018-01-03 12:59:00,114.1,288
2018-01-03 13:14:00,114.88,304
2018-01-03 13:29:00,112.2,288
2018-01-03 13:44:00,113.65,296
2018-01-03 13:59:00,114.99,309
2018-01-03 14:14:00,112.98,336
2018-01-03 14:29:00,113.69,308
2018-01-03 14:44:00,112.51,285
2018-01-03 14:59:00,112.82,294
2018-01-03 15:14:00,114.11,365
2018-01-03 15:29:00,112.56,357
2018-01-03 15:44:00,113.16,364
2018-01-03 15:59:00,114.39,355
2018-01-03 16:14:00,114.49,331
2018-01-03 16:29:00,114.71,354
2018-01-03 16:44:00,113.65,379
2018-01-03 16:59:00,112.74,355
2018-01-03 17:14:00,112.14,364
2018-01-03 17:29:00,112.54,377
2018-01-03 17:44:00,112.98,334
2018-01-03 17:59:00,114.04,318
2018-01-03 18:14:00,113.49,317
2018-01-03 18:29:00,113.12,267
2018-01-03 18:44:00,116.34,224
2018-01-03 18:59:00,115.94,204
2018-01-03 19:14:00,115.71,179
2018-01-03 19:29:00,116.79,182
2018-01-03 19:44:00,116.22,150
2018-01-03 19:59:00,111.99,128
2018-01-03 20:14:00,116.22,96
2018-01-03 20:29:00,113.32,133
2018-01-03 20:44:00,115.16,92
2018-01-03 20:59:00,115.11,91
2018-01-03 21:14:00,114.64,99
2018-01-03 21:29:00,114.6,87
2018-01-03 21:44:00,116.71,88
2018-01-03 21:59:00,114.03,78
2018-01-03 22:14:00,115.5,90
2018-01-03 22:29:00,115.18,108
2018-01-03 22:44:00,117.17,86
2018-01-03 22:59:00,115.88,78
2018-01-03 23:14:00,116.41,72
2018-01-03 23:29:00,110.52,56
2018-01-03 23:44:00,117.02,25
2018-01-03 23:59:00,111.67,15
2018-01-04 00:14:00,108.56,18
2018-01-04 00:29:00,109.26,22
2018-01-04 00:44:00,110.48,14
2018-01-04 00:59:00,112.36,15
2018-01-04 01:14:00,123.96,5
2018-01-04 01:29:00,116.05,15
2018-01-04 01:44:00,109.08,11
2018-01-04 01:59:00,108.44,13
2018-01-04 02:14:00,112.31,17
2018-01-04 02:29:00,108.31,15
2018-01-04 02:44:00,108.57,12
2018-01-04 02:59:00,103.55,13
